Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
SG,Trevelin Queen + 1138673,Trevelin Queen,1138673,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
SG,Isaiah Joe + 1134010,Isaiah Joe,1134010,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
PG,RJ Nembhard + 1060982,RJ Nembhard,1060982,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
SF,Charlie Brown + 950955,Charlie Brown,950955,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
PG,Sharife Cooper + 1251661,Sharife Cooper,1251661,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
SG,Jaden Springer + 1231665,Jaden Springer,1231665,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
PF,Mamadi Diakite + 899858,Mamadi Diakite,899858,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
SF,Nate Hinton + 1132573,Nate Hinton,1132573,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,3000.0
PF,Michael Foster + 1357746,Michael Foster,1357746,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
SG,Julian Champagnie + 1176070,Julian Champagnie,1176070,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,3000.0
SF,Timothé Luwawu-Cabarrot + 920091,Timothé Luwawu-Cabarrot,920091,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3000.0
SG/SF,Josh Okogie + 941460,Josh Okogie,941460,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3000.0
PF,Ish Wainright + 748530,Ish Wainright,748530,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,3000.0
SF,Vlatko Cancar + 1057007,Vlatko Cancar,1057007,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3000.0
SG,Kellan Grady + 1061761,Kellan Grady,1061761,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3000.0
PF,Jack White + 937674,Jack White,937674,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3000.0
PG,Collin Gillespie + 1070352,Collin Gillespie,1070352,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,3000.0
