PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SF,Anthony Lamb (24726922),Anthony Lamb,24726922,SF/F/UTIL,4200,POR@GSW 10/11/2022 10:00PM ET,GSW,2.12
,,,,,,,,,PF,Jabari Walker (24727032),Jabari Walker,24727032,PF/F/UTIL,4200,POR@GSW 10/11/2022 10:00PM ET,POR,0
,,,,,,,,,SF/PF,Jonathan Kuminga (24727045),Jonathan Kuminga,24727045,SF/PF/F/UTIL,4200,POR@GSW 10/11/2022 10:00PM ET,GSW,14.79
,,,,,,,,,PG,Jared Butler (24726985),Jared Butler,24726985,PG/G/UTIL,4200,SAS@UTA 10/11/2022 09:00PM ET,UTA,8.38
,,,,,,,,,SF/PF,Jeremy Sochan (24727063),Jeremy Sochan,24727063,SF/PF/F/UTIL,4200,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,C,Kevon Looney (24726892),Kevon Looney,24726892,C/UTIL,4100,POR@GSW 10/11/2022 10:00PM ET,GSW,20.21
,,,,,,,,,SG/SF,Moses Moody (24727018),Moses Moody,24727018,SG/SF/F/G/UTIL,4100,POR@GSW 10/11/2022 10:00PM ET,GSW,7.4
,,,,,,,,,PG/SG,Shaedon Sharpe (24727067),Shaedon Sharpe,24727067,PG/SG/G/UTIL,4100,POR@GSW 10/11/2022 10:00PM ET,POR,0
,,,,,,,,,PF,Joe Wieskamp (24726996),Joe Wieskamp,24726996,PF/F/UTIL,4100,SAS@UTA 10/11/2022 09:00PM ET,SAS,3.86
,,,,,,,,,PG,Leandro Bolmaro (24727042),Leandro Bolmaro,24727042,PG/G/UTIL,4100,SAS@UTA 10/11/2022 09:00PM ET,UTA,4.09
,,,,,,,,,PF/C,JaMychal Green (24726829),JaMychal Green,24726829,PF/C/F/UTIL,4000,POR@GSW 10/11/2022 10:00PM ET,GSW,14.43
,,,,,,,,,PG,Quinndary Weatherspoon (24726901),Quinndary Weatherspoon,24726901,PG/G/UTIL,4000,POR@GSW 10/11/2022 10:00PM ET,GSW,5.27
,,,,,,,,,SF,Jerome Robinson (24726908),Jerome Robinson,24726908,SF/F/UTIL,4000,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,PG,Isaiah Miller (24726943),Isaiah Miller,24726943,PG/G/UTIL,4000,POR@GSW 10/11/2022 10:00PM ET,POR,0
,,,,,,,,,PG,Lester Quinones (24726999),Lester Quinones,24726999,PG/G/UTIL,4000,POR@GSW 10/11/2022 10:00PM ET,GSW,0
,,,,,,,,,C,Udoka Azubuike (24726914),Udoka Azubuike,24726914,C/UTIL,4000,SAS@UTA 10/11/2022 09:00PM ET,UTA,11.07
,,,,,,,,,PG/SG,Tommy Kuhse (24726933),Tommy Kuhse,24726933,PG/SG/G/UTIL,4000,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,PG,Jordan Hall (24727035),Jordan Hall,24727035,PG/G/UTIL,4000,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
,,,,,,,,,PG,Blake Wesley (24727055),Blake Wesley,24727055,PG/G/UTIL,4000,SAS@UTA 10/11/2022 09:00PM ET,SAS,0
