PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SG,George Hill (24725554),George Hill,24725554,PG/SG/G/UTIL,5100,MIL@CHI 10/11/2022 08:00PM ET,MIL,13.91
,,,,,,,,,SG/SF,Terrence Ross (24725541),Terrence Ross,24725541,SG/SF/F/G/UTIL,5100,MEM@ORL 10/11/2022 07:00PM ET,ORL,17.23
,,,,,,,,,PG/SG,Jacob Gilyard (24725550),Jacob Gilyard,24725550,PG/SG/G/UTIL,5100,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,PF/C,Santi Aldama (24725558),Santi Aldama,24725558,PF/C/F/UTIL,5100,MEM@ORL 10/11/2022 07:00PM ET,MEM,9.44
,,,,,,,,,SG/SF,Devin Vassell (24725524),Devin Vassell,24725524,SG/SF/F/G/UTIL,5100,SAS@UTA 10/11/2022 09:00PM ET,SAS,24.54
,,,,,,,,,SG/SF,Malik Beasley (24725536),Malik Beasley,24725536,SG/SF/F/G/UTIL,5100,SAS@UTA 10/11/2022 09:00PM ET,UTA,20.12
,,,,,,,,,PG/SG,Tre Mann (24725529),Tre Mann,24725529,PG/SG/G/UTIL,5100,OKC@DET 10/11/2022 07:00PM ET,OKC,18.45
,,,,,,,,,PG,Killian Hayes (24725533),Killian Hayes,24725533,PG/G/UTIL,5100,OKC@DET 10/11/2022 07:00PM ET,DET,20.10
,,,,,,,,,PG,Goran Dragic (24725576),Goran Dragic,24725576,PG/G/UTIL,5000,MIL@CHI 10/11/2022 08:00PM ET,CHI,18.89
,,,,,,,,,PF,Thanasis Antetokounmpo (24725588),Thanasis Antetokounmpo,24725588,PF/F/UTIL,5000,MIL@CHI 10/11/2022 08:00PM ET,MIL,6.92
,,,,,,,,,SF,Andrew Wiggins (24725562),Andrew Wiggins,24725562,SF/F/UTIL,5000,POR@GSW 10/11/2022 10:00PM ET,GSW,30.66
,,,,,,,,,SF/PF,Aleem Ford (24725572),Aleem Ford,24725572,SF/PF/F/UTIL,5000,MEM@ORL 10/11/2022 07:00PM ET,ORL,7.35
,,,,,,,,,SF/PF,Justin Bean (24725584),Justin Bean,24725584,SF/PF/F/UTIL,5000,MEM@ORL 10/11/2022 07:00PM ET,MEM,0
,,,,,,,,,PF/C,Zach Collins (24725565),Zach Collins,24725565,PF/C/F/UTIL,5000,SAS@UTA 10/11/2022 09:00PM ET,SAS,19.60
,,,,,,,,,PG,Nickeil Alexander-Walker (24725569),Nickeil Alexander-Walker,24725569,PG/G/UTIL,5000,SAS@UTA 10/11/2022 09:00PM ET,UTA,19.95
,,,,,,,,,SG/SF,Talen Horton-Tucker (24725591),Talen Horton-Tucker,24725591,SG/SF/F/G/UTIL,5000,SAS@UTA 10/11/2022 09:00PM ET,UTA,20.63
,,,,,,,,,SG/SF,Rodney McGruder (24725579),Rodney McGruder,24725579,SG/SF/F/G/UTIL,5000,OKC@DET 10/11/2022 07:00PM ET,DET,10.92
,,,,,,,,,PG/SG,Alex Caruso (24725603),Alex Caruso,24725603,PG/SG/G/UTIL,4900,MIL@CHI 10/11/2022 08:00PM ET,CHI,21.95
,,,,,,,,,C,Brook Lopez (24725614),Brook Lopez,24725614,C/UTIL,4900,MIL@CHI 10/11/2022 08:00PM ET,MIL,22.48
,,,,,,,,,PG/SG,Zavier Simpson (24725599),Zavier Simpson,24725599,PG/SG/G/UTIL,4900,MEM@ORL 10/11/2022 07:00PM ET,ORL,32.19
